SHIPMENTDATE,Consignment,Customer,INVOICE,REFERENCE,WEIGHT,ORIGIN,DESTINATION,ZONE,VALUE
2025-06-28,IN-CONS-3825,Client_C,INV-IN-7027,IN-REF-222,24.17,Madrid,Coventry Hub,International,4204.67
2025-06-14,IN-CONS-3790,Client_A,INV-IN-7783,IN-REF-223,3.53,Paris,Coventry Hub,International,981.3
2025-06-06,IN-CONS-3720,Client_B,INV-IN-7158,IN-REF-224,8.0,Madrid,Coventry Hub,International,427.97
2025-06-29,IN-CONS-3348,Client_B,INV-IN-7644,IN-REF-225,38.83,Madrid,Coventry Hub,International,4257.56
2025-06-10,IN-CONS-3743,Client_A,INV-IN-7900,IN-REF-226,47.32,Berlin,Coventry Hub,International,1646.23
2025-06-18,IN-CONS-3537,Client_C,INV-IN-7432,IN-REF-227,29.67,Berlin,Coventry Hub,International,1053.26
2025-06-17,IN-CONS-3881,Client_B,INV-IN-7145,IN-REF-228,3.83,Paris,Coventry Hub,International,1204.88
2025-06-06,IN-CONS-3111,Client_A,INV-IN-7673,IN-REF-229,27.56,Berlin,Coventry Hub,International,2052.75
2025-06-13,IN-CONS-3043,Client_A,INV-IN-7812,IN-REF-230,8.26,Madrid,Coventry Hub,International,223.95
2025-06-12,IN-CONS-3330,Client_A,INV-IN-7937,IN-REF-231,34.15,Paris,Coventry Hub,International,1872.07
2025-06-11,IN-CONS-3182,Client_C,INV-IN-7276,IN-REF-232,43.74,Paris,Coventry Hub,International,1597.43
2025-06-23,IN-CONS-3606,Client_C,INV-IN-7217,IN-REF-233,48.06,Berlin,Coventry Hub,International,4749.25
2025-06-26,IN-CONS-3839,Client_A,INV-IN-7944,IN-REF-234,11.26,Madrid,Coventry Hub,International,2659.9
2025-06-01,IN-CONS-3416,Client_B,INV-IN-7577,IN-REF-235,9.73,Berlin,Coventry Hub,International,835.12
2025-06-15,IN-CONS-3616,Client_B,INV-IN-7496,IN-REF-236,4.08,Paris,Coventry Hub,International,1015.87
2025-06-26,IN-CONS-3320,Client_B,INV-IN-7261,IN-REF-237,30.88,Madrid,Coventry Hub,International,3899.55
2025-06-25,IN-CONS-3824,Client_B,INV-IN-7336,IN-REF-238,3.51,Madrid,Coventry Hub,International,1769.42
2025-06-19,IN-CONS-3125,Client_C,INV-IN-7715,IN-REF-239,35.83,Madrid,Coventry Hub,International,3276.86
2025-06-03,IN-CONS-3101,Client_B,INV-IN-7388,IN-REF-240,50.0,Madrid,Coventry Hub,International,3908.41
2025-06-12,IN-CONS-3658,Client_B,INV-IN-7753,IN-REF-241,30.94,Paris,Coventry Hub,International,2642.07
2025-06-23,IN-CONS-3520,Client_B,INV-IN-7228,IN-REF-242,21.88,Paris,Coventry Hub,International,3468.74
2025-06-05,IN-CONS-3215,Client_B,INV-IN-7481,IN-REF-243,36.13,Berlin,Coventry Hub,International,1902.98
2025-06-01,IN-CONS-3605,Client_B,INV-IN-7755,IN-REF-244,19.26,Berlin,Coventry Hub,International,2467.62
2025-06-17,IN-CONS-3381,Client_C,INV-IN-7573,IN-REF-245,7.53,Madrid,Coventry Hub,International,1075.32
2025-06-15,IN-CONS-3326,Client_A,INV-IN-7097,IN-REF-246,19.91,Madrid,Coventry Hub,International,272.62
2025-06-01,IN-CONS-3826,Client_A,INV-IN-7735,IN-REF-247,27.18,Paris,Coventry Hub,International,1462.94
2025-06-01,IN-CONS-3053,Client_A,INV-IN-7942,IN-REF-248,20.93,Paris,Coventry Hub,International,2016.48
2025-06-06,IN-CONS-3877,Client_B,INV-IN-7263,IN-REF-249,16.96,Madrid,Coventry Hub,International,4334.43
2025-06-27,IN-CONS-3687,Client_B,INV-IN-7813,IN-REF-250,42.12,Paris,Coventry Hub,International,973.41
2025-06-08,IN-CONS-3407,Client_B,INV-IN-7185,IN-REF-251,23.14,Berlin,Coventry Hub,International,4573.88
2025-06-21,IN-CONS-3056,Client_C,INV-IN-7365,IN-REF-252,40.61,Paris,Coventry Hub,International,4873.95
2025-06-15,IN-CONS-3131,Client_B,INV-IN-7100,IN-REF-253,11.83,Paris,Coventry Hub,International,1231.97
2025-06-03,IN-CONS-3806,Client_C,INV-IN-7066,IN-REF-254,5.13,Paris,Coventry Hub,International,2037.91
2025-06-04,IN-CONS-3158,Client_C,INV-IN-7418,IN-REF-255,15.31,Paris,Coventry Hub,International,3449.39
2025-06-05,IN-CONS-3300,Client_C,INV-IN-7049,IN-REF-256,11.52,Berlin,Coventry Hub,International,4938.05
2025-06-29,IN-CONS-3372,Client_B,INV-IN-7709,IN-REF-257,36.8,Madrid,Coventry Hub,International,1918.86
2025-06-18,IN-CONS-3440,Client_C,INV-IN-7531,IN-REF-258,9.39,Paris,Coventry Hub,International,3865.48
2025-06-24,IN-CONS-3314,Client_B,INV-IN-7749,IN-REF-259,19.33,Madrid,Coventry Hub,International,119.02
2025-06-01,IN-CONS-3420,Client_B,INV-IN-7392,IN-REF-260,9.55,Berlin,Coventry Hub,International,2919.06
2025-06-21,IN-CONS-3985,Client_C,INV-IN-7992,IN-REF-261,9.3,Berlin,Coventry Hub,International,441.94
2025-06-16,IN-CONS-3939,Client_B,INV-IN-7413,IN-REF-262,18.0,Paris,Coventry Hub,International,4083.17
2025-06-02,IN-CONS-3603,Client_B,INV-IN-7248,IN-REF-263,21.05,Madrid,Coventry Hub,International,1276.48
2025-06-20,IN-CONS-3775,Client_B,INV-IN-7873,IN-REF-264,10.35,Berlin,Coventry Hub,International,3684.27
2025-06-29,IN-CONS-3913,Client_B,INV-IN-7409,IN-REF-265,10.12,Madrid,Coventry Hub,International,3935.24
2025-06-15,IN-CONS-3078,Client_C,INV-IN-7924,IN-REF-266,7.4,Madrid,Coventry Hub,International,731.18
2025-06-18,IN-CONS-3877,Client_B,INV-IN-7838,IN-REF-267,31.27,Berlin,Coventry Hub,International,571.16
2025-06-07,IN-CONS-3192,Client_C,INV-IN-7502,IN-REF-268,12.81,Madrid,Coventry Hub,International,3320.85
2025-06-09,IN-CONS-3402,Client_C,INV-IN-7406,IN-REF-269,27.07,Paris,Coventry Hub,International,597.52
2025-06-15,IN-CONS-3735,Client_C,INV-IN-7700,IN-REF-270,5.89,Berlin,Coventry Hub,International,4899.44
2025-06-01,IN-CONS-3825,Client_C,INV-IN-7257,IN-REF-271,42.83,Madrid,Coventry Hub,International,1995.74
2025-06-10,IN-CONS-3914,Client_C,INV-IN-7622,IN-REF-272,26.23,Berlin,Coventry Hub,International,3526.47
2025-06-17,IN-CONS-3673,Client_C,INV-IN-7735,IN-REF-273,2.65,Berlin,Coventry Hub,International,1012.46
2025-06-07,IN-CONS-3577,Client_C,INV-IN-7356,IN-REF-274,26.67,Paris,Coventry Hub,International,2585.4
2025-06-21,IN-CONS-3166,Client_C,INV-IN-7505,IN-REF-275,12.91,Madrid,Coventry Hub,International,2871.02
2025-06-08,IN-CONS-3684,Client_A,INV-IN-7433,IN-REF-276,38.96,Madrid,Coventry Hub,International,4766.78
2025-06-13,IN-CONS-3710,Client_A,INV-IN-7588,IN-REF-277,31.9,Berlin,Coventry Hub,International,180.86
2025-06-16,IN-CONS-3219,Client_C,INV-IN-7499,IN-REF-278,41.35,Madrid,Coventry Hub,International,4467.6
2025-06-11,IN-CONS-3526,Client_A,INV-IN-7777,IN-REF-279,18.47,Madrid,Coventry Hub,International,3097.85
2025-06-14,IN-CONS-3875,Client_C,INV-IN-7030,IN-REF-280,7.68,Madrid,Coventry Hub,International,3353.24
2025-06-01,IN-CONS-3173,Client_A,INV-IN-7035,IN-REF-281,30.99,Paris,Coventry Hub,International,2441.51
2025-06-14,IN-CONS-3641,Client_C,INV-IN-7551,IN-REF-282,49.14,Madrid,Coventry Hub,International,4889.6
2025-06-28,IN-CONS-3722,Client_B,INV-IN-7716,IN-REF-283,13.37,Berlin,Coventry Hub,International,239.22
2025-06-26,IN-CONS-3998,Client_C,INV-IN-7113,IN-REF-284,25.32,Madrid,Coventry Hub,International,4372.83
2025-06-23,IN-CONS-3975,Client_B,INV-IN-7159,IN-REF-285,15.98,Paris,Coventry Hub,International,582.64
2025-06-12,IN-CONS-3287,Client_C,INV-IN-7815,IN-REF-286,15.35,Berlin,Coventry Hub,International,4710.39
2025-06-09,IN-CONS-3055,Client_A,INV-IN-7441,IN-REF-287,36.0,Madrid,Coventry Hub,International,125.43
2025-06-15,IN-CONS-3994,Client_A,INV-IN-7522,IN-REF-288,2.0,Paris,Coventry Hub,International,4604.85
2025-06-05,IN-CONS-3951,Client_C,INV-IN-7260,IN-REF-289,29.69,Paris,Coventry Hub,International,1708.89
2025-06-18,IN-CONS-3975,Client_B,INV-IN-7353,IN-REF-290,15.33,Paris,Coventry Hub,International,1402.43
2025-06-21,IN-CONS-3760,Client_B,INV-IN-7481,IN-REF-291,26.53,Berlin,Coventry Hub,International,4841.34
2025-06-06,IN-CONS-3357,Client_B,INV-IN-7201,IN-REF-292,21.52,Madrid,Coventry Hub,International,2887.56
2025-06-27,IN-CONS-3632,Client_B,INV-IN-7780,IN-REF-293,28.11,Berlin,Coventry Hub,International,1532.77
2025-06-02,IN-CONS-3627,Client_A,INV-IN-7977,IN-REF-294,10.02,Berlin,Coventry Hub,International,4590.22
2025-06-29,IN-CONS-3906,Client_B,INV-IN-7967,IN-REF-295,29.61,Berlin,Coventry Hub,International,4949.8
2025-06-16,IN-CONS-3469,Client_B,INV-IN-7934,IN-REF-296,13.19,Madrid,Coventry Hub,International,3915.98
2025-06-22,IN-CONS-3935,Client_A,INV-IN-7109,IN-REF-297,30.7,Madrid,Coventry Hub,International,1632.12
2025-06-29,IN-CONS-3571,Client_C,INV-IN-7078,IN-REF-298,45.89,Berlin,Coventry Hub,International,4261.25
2025-06-17,IN-CONS-3487,Client_B,INV-IN-7633,IN-REF-299,26.03,Paris,Coventry Hub,International,2221.0
2025-06-19,IN-CONS-3127,Client_A,INV-IN-7265,IN-REF-300,29.6,Paris,Coventry Hub,International,4203.21
2025-06-04,IN-CONS-3656,Client_C,INV-IN-7968,IN-REF-301,38.97,Paris,Coventry Hub,International,1274.02
2025-06-04,IN-CONS-3674,Client_C,INV-IN-7772,IN-REF-302,10.9,Paris,Coventry Hub,International,3648.19
2025-06-07,IN-CONS-3318,Client_B,INV-IN-7499,IN-REF-303,42.88,Paris,Coventry Hub,International,3560.12
2025-06-07,IN-CONS-3616,Client_C,INV-IN-7615,IN-REF-304,29.09,Paris,Coventry Hub,International,797.13
2025-06-09,IN-CONS-3305,Client_A,INV-IN-7629,IN-REF-305,36.45,Madrid,Coventry Hub,International,185.46
2025-06-28,IN-CONS-3056,Client_B,INV-IN-7684,IN-REF-306,18.7,Paris,Coventry Hub,International,4912.35
2025-06-03,IN-CONS-3771,Client_A,INV-IN-7391,IN-REF-307,3.38,Berlin,Coventry Hub,International,2994.33
2025-06-26,IN-CONS-3914,Client_C,INV-IN-7467,IN-REF-308,26.23,Paris,Coventry Hub,International,2608.82
2025-06-02,IN-CONS-3116,Client_A,INV-IN-7487,IN-REF-309,12.25,Madrid,Coventry Hub,International,3302.55
2025-06-29,IN-CONS-3595,Client_A,INV-IN-7613,IN-REF-310,25.62,Berlin,Coventry Hub,International,2302.45
2025-06-02,IN-CONS-3325,Client_A,INV-IN-7228,IN-REF-311,30.36,Berlin,Coventry Hub,International,3406.34
2025-06-14,IN-CONS-3378,Client_C,INV-IN-7235,IN-REF-312,48.29,Berlin,Coventry Hub,International,767.83
2025-06-09,IN-CONS-3902,Client_B,INV-IN-7436,IN-REF-313,36.78,Madrid,Coventry Hub,International,1224.67
2025-06-01,IN-CONS-3264,Client_B,INV-IN-7296,IN-REF-314,23.04,Paris,Coventry Hub,International,3013.54
2025-06-14,IN-CONS-3052,Client_B,INV-IN-7581,IN-REF-315,11.69,Madrid,Coventry Hub,International,4200.01
2025-06-03,IN-CONS-3597,Client_B,INV-IN-7773,IN-REF-316,14.93,Madrid,Coventry Hub,International,2901.49
2025-06-23,IN-CONS-3561,Client_B,INV-IN-7384,IN-REF-317,2.18,Madrid,Coventry Hub,International,2570.12
2025-06-17,IN-CONS-3402,Client_C,INV-IN-7782,IN-REF-318,41.55,Madrid,Coventry Hub,International,4190.2
2025-06-08,IN-CONS-3708,Client_A,INV-IN-7417,IN-REF-319,25.25,Paris,Coventry Hub,International,753.47
2025-06-14,IN-CONS-3511,Client_A,INV-IN-7569,IN-REF-320,46.47,Paris,Coventry Hub,International,1298.31
2025-06-01,IN-CONS-3407,Client_A,INV-IN-7040,IN-REF-321,15.19,Berlin,Coventry Hub,International,2697.15
2025-06-17,IN-CONS-3355,Client_B,INV-IN-7179,IN-REF-322,12.14,Berlin,Coventry Hub,International,1556.69
2025-06-23,IN-CONS-3859,Client_A,INV-IN-7149,IN-REF-323,14.36,Madrid,Coventry Hub,International,4187.84
2025-06-24,IN-CONS-3308,Client_B,INV-IN-7161,IN-REF-324,21.54,Madrid,Coventry Hub,International,1364.93
2025-06-20,IN-CONS-3057,Client_C,INV-IN-7723,IN-REF-325,33.71,Berlin,Coventry Hub,International,4151.39
2025-06-07,IN-CONS-3178,Client_C,INV-IN-7548,IN-REF-326,47.2,Paris,Coventry Hub,International,1343.59
2025-06-27,IN-CONS-3810,Client_A,INV-IN-7730,IN-REF-327,3.44,Paris,Coventry Hub,International,4916.83
2025-06-13,IN-CONS-3909,Client_C,INV-IN-7527,IN-REF-328,2.55,Paris,Coventry Hub,International,1863.78
2025-06-02,IN-CONS-3383,Client_C,INV-IN-7395,IN-REF-329,12.33,Berlin,Coventry Hub,International,3465.33
2025-06-17,IN-CONS-3312,Client_C,INV-IN-7069,IN-REF-330,8.88,Paris,Coventry Hub,International,902.94
2025-06-18,IN-CONS-3881,Client_A,INV-IN-7866,IN-REF-331,5.61,Berlin,Coventry Hub,International,4298.03
2025-06-14,IN-CONS-3075,Client_A,INV-IN-7171,IN-REF-332,47.47,Berlin,Coventry Hub,International,295.22
2025-06-15,IN-CONS-3046,Client_C,INV-IN-7756,IN-REF-333,9.09,Paris,Coventry Hub,International,3771.32
2025-06-06,IN-CONS-3469,Client_B,INV-IN-7884,IN-REF-334,45.17,Paris,Coventry Hub,International,3974.09
2025-06-29,IN-CONS-3356,Client_A,INV-IN-7970,IN-REF-335,37.19,Paris,Coventry Hub,International,504.32
2025-06-02,IN-CONS-3538,Client_C,INV-IN-7155,IN-REF-336,34.09,Berlin,Coventry Hub,International,176.87
2025-06-02,IN-CONS-3648,Client_A,INV-IN-7225,IN-REF-337,22.97,Berlin,Coventry Hub,International,4791.42
2025-06-11,IN-CONS-3967,Client_B,INV-IN-7698,IN-REF-338,6.16,Berlin,Coventry Hub,International,1579.57
2025-06-05,IN-CONS-3386,Client_A,INV-IN-7113,IN-REF-339,23.28,Berlin,Coventry Hub,International,3089.12
2025-06-19,IN-CONS-3504,Client_C,INV-IN-7315,IN-REF-340,8.51,Madrid,Coventry Hub,International,1127.43
2025-06-23,IN-CONS-3020,Client_C,INV-IN-7977,IN-REF-341,26.87,Madrid,Coventry Hub,International,1286.27
2025-06-10,IN-CONS-3249,Client_C,INV-IN-7798,IN-REF-342,18.93,Madrid,Coventry Hub,International,1859.17
2025-06-06,IN-CONS-3959,Client_A,INV-IN-7695,IN-REF-343,12.47,Berlin,Coventry Hub,International,3267.45
2025-06-19,IN-CONS-3371,Client_C,INV-IN-7658,IN-REF-344,6.21,Berlin,Coventry Hub,International,3897.44
2025-06-21,IN-CONS-3045,Client_B,INV-IN-7671,IN-REF-345,26.26,Paris,Coventry Hub,International,535.01
2025-06-07,IN-CONS-3081,Client_C,INV-IN-7689,IN-REF-346,41.25,Paris,Coventry Hub,International,4928.51
2025-06-10,IN-CONS-3376,Client_C,INV-IN-7548,IN-REF-347,3.47,Berlin,Coventry Hub,International,1826.76
2025-06-08,IN-CONS-3851,Client_C,INV-IN-7882,IN-REF-348,17.41,Berlin,Coventry Hub,International,3787.17
2025-06-10,IN-CONS-3321,Client_B,INV-IN-7394,IN-REF-349,32.03,Madrid,Coventry Hub,International,1226.51
2025-06-22,IN-CONS-3767,Client_B,INV-IN-7640,IN-REF-350,32.99,Paris,Coventry Hub,International,2587.2
2025-06-14,IN-CONS-3699,Client_B,INV-IN-7085,IN-REF-351,41.58,Madrid,Coventry Hub,International,3908.57
2025-06-13,IN-CONS-3239,Client_A,INV-IN-7449,IN-REF-352,36.82,Paris,Coventry Hub,International,1159.6
2025-06-01,IN-CONS-3742,Client_C,INV-IN-7857,IN-REF-353,12.57,Madrid,Coventry Hub,International,4509.09
2025-06-21,IN-CONS-3343,Client_B,INV-IN-7036,IN-REF-354,34.93,Paris,Coventry Hub,International,3659.13
2025-06-02,IN-CONS-3062,Client_C,INV-IN-7482,IN-REF-355,39.74,Berlin,Coventry Hub,International,2334.18
2025-06-05,IN-CONS-3799,Client_A,INV-IN-7700,IN-REF-356,25.12,Paris,Coventry Hub,International,853.45
2025-06-28,IN-CONS-3993,Client_B,INV-IN-7645,IN-REF-357,14.67,Berlin,Coventry Hub,International,4170.22
2025-06-02,IN-CONS-3480,Client_A,INV-IN-7957,IN-REF-358,13.14,Berlin,Coventry Hub,International,2625.76
2025-06-26,IN-CONS-3254,Client_C,INV-IN-7626,IN-REF-359,3.62,Paris,Coventry Hub,International,2811.97
2025-06-21,IN-CONS-3648,Client_C,INV-IN-7325,IN-REF-360,22.43,Paris,Coventry Hub,International,3551.16
2025-06-02,IN-CONS-3774,Client_C,INV-IN-7341,IN-REF-361,18.64,Paris,Coventry Hub,International,4521.47
2025-06-25,IN-CONS-3506,Client_C,INV-IN-7311,IN-REF-362,16.96,Paris,Coventry Hub,International,1346.16
2025-06-14,IN-CONS-3961,Client_B,INV-IN-7759,IN-REF-363,39.7,Paris,Coventry Hub,International,1006.56
2025-06-25,IN-CONS-3401,Client_B,INV-IN-7309,IN-REF-364,20.23,Berlin,Coventry Hub,International,812.27
2025-06-04,IN-CONS-3632,Client_C,INV-IN-7052,IN-REF-365,17.06,Madrid,Coventry Hub,International,2121.68
2025-06-21,IN-CONS-3828,Client_B,INV-IN-7949,IN-REF-366,35.07,Madrid,Coventry Hub,International,2663.67
2025-06-01,IN-CONS-3092,Client_A,INV-IN-7435,IN-REF-367,3.86,Berlin,Coventry Hub,International,4900.11
2025-06-25,IN-CONS-3114,Client_A,INV-IN-7940,IN-REF-368,7.4,Madrid,Coventry Hub,International,1456.19
2025-06-09,IN-CONS-3682,Client_B,INV-IN-7207,IN-REF-369,20.8,Madrid,Coventry Hub,International,3798.94
2025-06-02,IN-CONS-3511,Client_C,INV-IN-7963,IN-REF-370,31.98,Berlin,Coventry Hub,International,2990.36
2025-06-13,IN-CONS-3891,Client_C,INV-IN-7143,IN-REF-371,29.87,Paris,Coventry Hub,International,4670.89
2025-06-27,IN-CONS-3766,Client_A,INV-IN-7035,IN-REF-372,9.77,Madrid,Coventry Hub,International,3427.99
2025-06-15,IN-CONS-3223,Client_A,INV-IN-7697,IN-REF-373,43.02,Berlin,Coventry Hub,International,2555.7
2025-06-13,IN-CONS-3781,Client_B,INV-IN-7826,IN-REF-374,2.7,Paris,Coventry Hub,International,3903.32
2025-06-18,IN-CONS-3331,Client_C,INV-IN-7373,IN-REF-375,8.68,Madrid,Coventry Hub,International,4195.67
2025-06-02,IN-CONS-3238,Client_A,INV-IN-7848,IN-REF-376,1.04,Paris,Coventry Hub,International,3697.08
2025-06-02,IN-CONS-3630,Client_A,INV-IN-7651,IN-REF-377,34.46,Madrid,Coventry Hub,International,4158.0
2025-06-22,IN-CONS-3943,Client_C,INV-IN-7100,IN-REF-378,43.39,Berlin,Coventry Hub,International,2791.3
2025-06-03,IN-CONS-3880,Client_B,INV-IN-7146,IN-REF-379,49.19,Paris,Coventry Hub,International,4444.41
2025-06-12,IN-CONS-3601,Client_C,INV-IN-7249,IN-REF-380,10.38,Paris,Coventry Hub,International,2975.13
2025-06-06,IN-CONS-3594,Client_A,INV-IN-7530,IN-REF-381,2.64,Paris,Coventry Hub,International,232.02
2025-06-28,IN-CONS-3721,Client_C,INV-IN-7909,IN-REF-382,39.21,Madrid,Coventry Hub,International,4922.44
2025-06-02,IN-CONS-3807,Client_C,INV-IN-7912,IN-REF-383,3.53,Paris,Coventry Hub,International,2768.08
2025-06-27,IN-CONS-3141,Client_C,INV-IN-7214,IN-REF-384,31.24,Berlin,Coventry Hub,International,3584.2
2025-06-01,IN-CONS-3213,Client_A,INV-IN-7979,IN-REF-385,23.37,Paris,Coventry Hub,International,4568.96
2025-06-17,IN-CONS-3679,Client_A,INV-IN-7033,IN-REF-386,39.42,Berlin,Coventry Hub,International,3511.32
2025-06-09,IN-CONS-3045,Client_A,INV-IN-7291,IN-REF-387,39.32,Berlin,Coventry Hub,International,3467.59
2025-06-17,IN-CONS-3817,Client_A,INV-IN-7752,IN-REF-388,23.35,Madrid,Coventry Hub,International,3549.28
2025-06-28,IN-CONS-3779,Client_C,INV-IN-7870,IN-REF-389,34.77,Berlin,Coventry Hub,International,4987.85
2025-06-19,IN-CONS-3203,Client_B,INV-IN-7338,IN-REF-390,33.12,Paris,Coventry Hub,International,2751.71
2025-06-08,IN-CONS-3786,Client_B,INV-IN-7454,IN-REF-391,16.35,Paris,Coventry Hub,International,3105.59
2025-06-29,IN-CONS-3072,Client_B,INV-IN-7110,IN-REF-392,42.35,Paris,Coventry Hub,International,1707.45
2025-06-01,IN-CONS-3208,Client_B,INV-IN-7897,IN-REF-393,16.01,Madrid,Coventry Hub,International,4686.26
2025-06-07,IN-CONS-3729,Client_C,INV-IN-7222,IN-REF-394,6.36,Berlin,Coventry Hub,International,1993.99
2025-06-10,IN-CONS-3291,Client_C,INV-IN-7594,IN-REF-395,47.02,Berlin,Coventry Hub,International,194.28
2025-06-12,IN-CONS-3270,Client_A,INV-IN-7445,IN-REF-396,38.74,Paris,Coventry Hub,International,4389.48
2025-06-24,IN-CONS-3129,Client_A,INV-IN-7863,IN-REF-397,24.16,Paris,Coventry Hub,International,3230.64
2025-06-01,IN-CONS-3505,Client_A,INV-IN-7474,IN-REF-398,2.4,Berlin,Coventry Hub,International,1605.91
2025-06-12,IN-CONS-3085,Client_C,INV-IN-7045,IN-REF-399,3.02,Berlin,Coventry Hub,International,2100.16
2025-06-19,IN-CONS-3999,Client_A,INV-IN-7461,IN-REF-400,39.06,Paris,Coventry Hub,International,2169.89
2025-06-03,IN-CONS-3083,Client_A,INV-IN-7633,IN-REF-401,17.59,Berlin,Coventry Hub,International,568.63
2025-06-06,IN-CONS-3305,Client_C,INV-IN-7470,IN-REF-402,12.07,Madrid,Coventry Hub,International,2636.56
2025-06-23,IN-CONS-3645,Client_C,INV-IN-7099,IN-REF-403,8.64,Berlin,Coventry Hub,International,4491.07
2025-06-02,IN-CONS-3359,Client_C,INV-IN-7850,IN-REF-404,2.63,Paris,Coventry Hub,International,2636.18
2025-06-29,IN-CONS-3726,Client_A,INV-IN-7771,IN-REF-405,20.81,Paris,Coventry Hub,International,1721.01
2025-06-18,IN-CONS-3452,Client_B,INV-IN-7893,IN-REF-406,32.05,Paris,Coventry Hub,International,1772.87
2025-06-04,IN-CONS-3554,Client_B,INV-IN-7443,IN-REF-407,19.69,Paris,Coventry Hub,International,785.22
2025-06-02,IN-CONS-3491,Client_B,INV-IN-7378,IN-REF-408,25.04,Madrid,Coventry Hub,International,1435.69
2025-06-08,IN-CONS-3007,Client_C,INV-IN-7820,IN-REF-409,14.4,Madrid,Coventry Hub,International,3654.44
2025-06-28,IN-CONS-3583,Client_C,INV-IN-7112,IN-REF-410,18.43,Madrid,Coventry Hub,International,4757.21
2025-06-14,IN-CONS-3365,Client_A,INV-IN-7514,IN-REF-411,12.89,Paris,Coventry Hub,International,4214.11
2025-06-23,IN-CONS-3645,Client_C,INV-IN-7042,IN-REF-412,17.18,Berlin,Coventry Hub,International,2540.58
2025-06-07,IN-CONS-3534,Client_C,INV-IN-7944,IN-REF-413,19.75,Paris,Coventry Hub,International,2289.54
2025-06-25,IN-CONS-3090,Client_C,INV-IN-7726,IN-REF-414,7.54,Berlin,Coventry Hub,International,4360.2
2025-06-29,IN-CONS-3108,Client_A,INV-IN-7611,IN-REF-415,30.07,Madrid,Coventry Hub,International,2665.64
2025-06-18,IN-CONS-3763,Client_A,INV-IN-7292,IN-REF-416,26.49,Paris,Coventry Hub,International,2135.91
2025-06-07,IN-CONS-3810,Client_C,INV-IN-7628,IN-REF-417,48.0,Paris,Coventry Hub,International,287.97
2025-06-19,IN-CONS-3844,Client_A,INV-IN-7959,IN-REF-418,2.82,Berlin,Coventry Hub,International,4858.47
2025-06-14,IN-CONS-3066,Client_A,INV-IN-7202,IN-REF-419,27.26,Madrid,Coventry Hub,International,4074.98
2025-06-17,IN-CONS-3687,Client_B,INV-IN-7866,IN-REF-420,1.53,Paris,Coventry Hub,International,473.4
2025-06-02,IN-CONS-3542,Client_A,INV-IN-7491,IN-REF-421,16.21,Paris,Coventry Hub,International,3164.05
2025-06-12,IN-CONS-3252,Client_A,INV-IN-7241,IN-REF-422,44.83,Berlin,Coventry Hub,International,3899.8
2025-06-14,IN-CONS-3271,Client_B,INV-IN-7455,IN-REF-423,17.47,Paris,Coventry Hub,International,1748.58
2025-06-20,IN-CONS-3634,Client_C,INV-IN-7259,IN-REF-424,5.92,Madrid,Coventry Hub,International,3040.29
2025-06-25,IN-CONS-3718,Client_A,INV-IN-7906,IN-REF-425,44.09,Madrid,Coventry Hub,International,3812.72
2025-06-16,IN-CONS-3455,Client_B,INV-IN-7912,IN-REF-426,22.91,Berlin,Coventry Hub,International,4645.46
2025-06-18,IN-CONS-3232,Client_B,INV-IN-7063,IN-REF-427,36.96,Paris,Coventry Hub,International,2748.71
2025-06-04,IN-CONS-3477,Client_A,INV-IN-7593,IN-REF-428,7.78,Berlin,Coventry Hub,International,2402.72
2025-06-08,IN-CONS-3318,Client_A,INV-IN-7348,IN-REF-429,34.43,Paris,Coventry Hub,International,3264.37
2025-06-02,IN-CONS-3979,Client_A,INV-IN-7312,IN-REF-430,25.29,Berlin,Coventry Hub,International,4034.3
2025-06-24,IN-CONS-3550,Client_C,INV-IN-7964,IN-REF-431,25.14,Paris,Coventry Hub,International,929.39
2025-06-13,IN-CONS-3366,Client_B,INV-IN-7181,IN-REF-432,11.06,Paris,Coventry Hub,International,2743.39
2025-06-04,IN-CONS-3895,Client_B,INV-IN-7216,IN-REF-433,30.75,Madrid,Coventry Hub,International,2433.88
2025-06-26,IN-CONS-3244,Client_B,INV-IN-7716,IN-REF-434,13.18,Paris,Coventry Hub,International,2563.01
2025-06-25,IN-CONS-3756,Client_C,INV-IN-7351,IN-REF-435,24.66,Berlin,Coventry Hub,International,351.61
2025-06-08,IN-CONS-3280,Client_B,INV-IN-7338,IN-REF-436,37.14,Madrid,Coventry Hub,International,3929.49
2025-06-21,IN-CONS-3649,Client_C,INV-IN-7129,IN-REF-437,9.28,Berlin,Coventry Hub,International,2985.47
2025-06-27,IN-CONS-3419,Client_C,INV-IN-7586,IN-REF-438,14.92,Madrid,Coventry Hub,International,1778.06
2025-06-13,IN-CONS-3693,Client_A,INV-IN-7998,IN-REF-439,1.95,Madrid,Coventry Hub,International,4899.6
2025-06-08,IN-CONS-3687,Client_B,INV-IN-7269,IN-REF-440,14.64,Berlin,Coventry Hub,International,397.94
2025-06-16,IN-CONS-3569,Client_C,INV-IN-7551,IN-REF-441,15.9,Madrid,Coventry Hub,International,466.98
2025-06-24,IN-CONS-3139,Client_A,INV-IN-7944,IN-REF-442,38.08,Berlin,Coventry Hub,International,3239.5
2025-06-25,IN-CONS-3708,Client_A,INV-IN-7725,IN-REF-443,45.21,Madrid,Coventry Hub,International,2203.06
2025-06-18,IN-CONS-3957,Client_B,INV-IN-7311,IN-REF-444,16.75,Berlin,Coventry Hub,International,4002.13
