SHIPMENTDATE,BARCODE,ACCOUNTNUMBER,INVOICE_NUMBER,Consignment,REFERENCE,WEIGHT,VOLUMETRIC_WEIGHT,LENGTH,WIDTH,HEIGHT,PRODUCT_TYPE_NAME,Destination,ZONE,BASE_RATE,FINAL_PRICE
2025-06-15,BAR67672,ACC-702,INV-5724,CONS-1489,REF-186,12.86,4.96,93,64,13,Express,London,Zone 2,33.71,38.33
2025-06-23,BAR53002,ACC-331,INV-5861,CONS-1303,REF-187,9.23,9.9,97,90,25,Economy,Glasgow,Zone 2,13.83,33.3
2025-06-18,BAR36755,ACC-127,INV-5484,CONS-1874,REF-188,16.52,24.35,60,59,52,Express,Manchester,Zone 3,23.87,65.41
2025-06-25,BAR16740,ACC-801,INV-5692,CONS-1305,REF-189,7.29,5.5,12,40,64,Express,Birmingham,Zone 2,32.03,82.15
2025-06-26,BAR47863,ACC-578,INV-5458,CONS-1349,REF-190,28.64,30.6,45,57,72,Standard,London,Zone 3,43.4,18.45
2025-06-27,BAR57403,ACC-198,INV-5885,CONS-1883,REF-191,26.64,6.69,68,77,23,Economy,London,Zone 2,31.11,13.87
2025-06-19,BAR56471,ACC-371,INV-5067,CONS-1600,REF-192,9.48,11.2,66,53,13,Standard,Birmingham,Zone 3,23.37,51.97
2025-06-18,BAR27984,ACC-110,INV-5041,CONS-1103,REF-193,11.94,16.86,48,63,27,Economy,London,Zone 2,6.21,83.01
2025-06-05,BAR34113,ACC-717,INV-5765,CONS-1380,REF-194,20.92,28.44,20,44,68,Economy,Glasgow,Zone 3,30.3,36.44
2025-06-01,BAR12860,ACC-812,INV-5564,CONS-1189,REF-195,23.09,22.38,32,97,45,Standard,Glasgow,Zone 3,5.18,83.12
2025-06-05,BAR45828,ACC-614,INV-5377,CONS-1194,REF-196,0.84,16.91,72,13,23,Economy,London,Zone 1,39.42,48.9
2025-06-06,BAR52829,ACC-885,INV-5336,CONS-1988,REF-197,10.11,6.29,64,81,42,Standard,Birmingham,Zone 2,17.16,70.31
2025-06-05,BAR49788,ACC-657,INV-5945,CONS-1868,REF-198,9.13,4.01,62,28,79,Express,Glasgow,Zone 3,20.42,92.98
2025-06-05,BAR87952,ACC-454,INV-5548,CONS-1526,REF-199,13.18,19.57,40,11,94,Standard,Birmingham,Zone 2,42.46,48.22
2025-06-05,BAR71442,ACC-215,INV-5976,CONS-1439,REF-200,12.27,6.16,51,40,25,Economy,Glasgow,Zone 1,29.44,48.0
2025-06-28,BAR78068,ACC-800,INV-5583,CONS-1840,REF-201,8.3,25.98,20,72,44,Standard,Manchester,Zone 1,24.95,39.61
2025-06-21,BAR12894,ACC-110,INV-5379,CONS-1780,REF-202,19.76,6.03,35,87,43,Standard,Glasgow,Zone 1,9.79,91.31
2025-06-04,BAR18145,ACC-925,INV-5997,CONS-1179,REF-203,14.91,15.32,54,45,41,Express,Birmingham,Zone 1,47.57,34.1
2025-06-29,BAR83476,ACC-775,INV-5302,CONS-1793,REF-204,25.03,29.17,17,34,29,Express,London,Zone 1,21.32,14.54
2025-06-16,BAR65015,ACC-307,INV-5913,CONS-1384,REF-205,20.96,30.23,14,36,90,Economy,Manchester,Zone 1,33.43,14.89
2025-06-08,BAR65456,ACC-640,INV-5809,CONS-1895,REF-206,5.33,15.75,57,28,96,Express,Glasgow,Zone 3,6.49,72.22
2025-06-21,BAR81727,ACC-399,INV-5429,CONS-1049,REF-207,29.44,34.49,76,40,90,Standard,Glasgow,Zone 1,12.29,15.57
2025-06-28,BAR44831,ACC-807,INV-5234,CONS-1702,REF-208,25.44,21.49,48,73,78,Standard,Birmingham,Zone 1,29.97,59.49
2025-06-11,BAR95406,ACC-141,INV-5676,CONS-1449,REF-209,14.69,28.6,26,65,65,Standard,Glasgow,Zone 2,7.57,81.41
2025-06-17,BAR29607,ACC-109,INV-5837,CONS-1251,REF-210,6.92,34.85,45,53,49,Standard,London,Zone 3,42.21,21.49
2025-06-05,BAR24444,ACC-908,INV-5965,CONS-1053,REF-211,13.69,18.01,20,40,50,Express,Manchester,Zone 1,38.91,19.8
2025-06-05,BAR76572,ACC-238,INV-5571,CONS-1102,REF-212,2.88,30.5,43,58,22,Economy,Glasgow,Zone 2,9.28,82.88
2025-06-27,BAR82269,ACC-608,INV-5792,CONS-1135,REF-213,23.89,27.36,52,87,88,Economy,London,Zone 3,13.22,81.9
2025-06-10,BAR45118,ACC-702,INV-5109,CONS-1346,REF-214,6.29,14.43,70,89,51,Express,London,Zone 2,5.73,87.41
2025-06-14,BAR82959,ACC-936,INV-5640,CONS-1181,REF-215,6.85,30.4,48,80,74,Express,London,Zone 1,41.01,29.48
2025-06-03,BAR12239,ACC-409,INV-5206,CONS-1648,REF-216,22.23,9.45,52,10,42,Standard,London,Zone 1,37.42,11.26
2025-06-10,BAR65498,ACC-630,INV-5501,CONS-1238,REF-217,23.75,26.12,70,47,68,Express,Manchester,Zone 2,19.83,52.7
2025-06-23,BAR39892,ACC-493,INV-5513,CONS-1896,REF-218,27.67,1.94,76,70,90,Express,Birmingham,Zone 3,24.86,69.27
2025-06-25,BAR22477,ACC-603,INV-5669,CONS-1798,REF-219,17.05,24.82,75,55,55,Economy,London,Zone 3,23.87,36.9
2025-06-09,BAR88108,ACC-286,INV-5012,CONS-1177,REF-220,27.64,2.28,39,33,19,Standard,Birmingham,Zone 1,42.03,34.0
2025-06-19,BAR78960,ACC-204,INV-5953,CONS-1868,REF-221,22.43,33.67,52,100,12,Standard,Birmingham,Zone 3,40.07,58.04
2025-06-22,BAR48057,ACC-430,INV-5434,CONS-1184,REF-222,26.96,21.55,75,36,87,Express,Birmingham,Zone 3,38.38,82.29
2025-06-10,BAR25236,ACC-567,INV-5789,CONS-1534,REF-223,19.04,26.64,88,64,49,Express,Glasgow,Zone 2,42.33,58.85
2025-06-29,BAR86836,ACC-296,INV-5046,CONS-1170,REF-224,3.06,4.94,17,40,47,Standard,Birmingham,Zone 1,32.77,75.28
2025-06-17,BAR23985,ACC-262,INV-5651,CONS-1490,REF-225,2.04,14.22,27,77,88,Standard,London,Zone 1,12.39,19.02
2025-06-24,BAR39838,ACC-852,INV-5794,CONS-1788,REF-226,19.14,32.96,25,12,12,Economy,London,Zone 3,45.0,47.48
2025-06-22,BAR37005,ACC-447,INV-5141,CONS-1068,REF-227,11.96,19.37,63,31,40,Standard,London,Zone 2,29.62,20.86
2025-06-19,BAR35963,ACC-484,INV-5816,CONS-1050,REF-228,24.13,31.46,32,98,63,Express,Birmingham,Zone 2,14.36,82.71
2025-06-24,BAR48069,ACC-688,INV-5785,CONS-1806,REF-229,29.12,6.67,43,95,60,Express,London,Zone 2,25.76,68.16
2025-06-03,BAR72453,ACC-711,INV-5592,CONS-1229,REF-230,7.66,6.79,61,17,100,Economy,Birmingham,Zone 3,17.71,98.04
2025-06-02,BAR95030,ACC-934,INV-5232,CONS-1508,REF-231,3.56,21.91,47,31,67,Express,Glasgow,Zone 1,8.37,86.9
2025-06-14,BAR43751,ACC-875,INV-5196,CONS-1061,REF-232,29.47,9.77,53,44,77,Express,Glasgow,Zone 3,32.67,73.35
2025-06-23,BAR56802,ACC-587,INV-5135,CONS-1026,REF-233,28.75,2.55,65,25,16,Express,Manchester,Zone 3,28.6,47.64
2025-06-20,BAR36672,ACC-854,INV-5601,CONS-1934,REF-234,17.91,10.15,31,33,69,Standard,London,Zone 1,11.71,18.78
2025-06-29,BAR22889,ACC-963,INV-5731,CONS-1020,REF-235,0.83,18.07,99,89,43,Standard,Birmingham,Zone 1,43.34,63.7
2025-06-19,BAR63848,ACC-823,INV-5920,CONS-1832,REF-236,19.56,31.81,26,86,77,Express,Glasgow,Zone 1,27.08,73.03
2025-06-08,BAR34852,ACC-689,INV-5314,CONS-1843,REF-237,10.8,4.49,45,20,37,Economy,Glasgow,Zone 1,13.45,43.72
2025-06-10,BAR57157,ACC-460,INV-5778,CONS-1823,REF-238,8.71,19.98,84,66,29,Economy,Birmingham,Zone 1,8.42,18.5
2025-06-07,BAR57603,ACC-207,INV-5098,CONS-1405,REF-239,19.65,29.11,13,71,60,Standard,Birmingham,Zone 3,28.08,61.98
2025-06-02,BAR11085,ACC-777,INV-5920,CONS-1894,REF-240,12.44,1.44,37,34,75,Standard,Manchester,Zone 1,40.83,29.58
2025-06-29,BAR51838,ACC-253,INV-5505,CONS-1499,REF-241,29.68,6.24,58,18,90,Economy,London,Zone 3,5.82,65.3
2025-06-04,BAR11670,ACC-325,INV-5331,CONS-1229,REF-242,9.3,27.42,52,34,18,Economy,London,Zone 2,12.07,26.77
2025-06-17,BAR56807,ACC-808,INV-5702,CONS-1790,REF-243,17.5,4.75,26,89,63,Express,London,Zone 1,43.4,28.74
2025-06-02,BAR71019,ACC-889,INV-5682,CONS-1400,REF-244,10.91,5.4,35,13,55,Economy,Birmingham,Zone 1,31.43,29.85
2025-06-04,BAR19472,ACC-968,INV-5489,CONS-1508,REF-245,7.04,19.69,97,68,40,Standard,London,Zone 1,23.44,39.44
2025-06-17,BAR77620,ACC-203,INV-5626,CONS-1275,REF-246,19.3,23.0,21,74,39,Express,Glasgow,Zone 2,26.39,61.63
2025-06-16,BAR56749,ACC-299,INV-5101,CONS-1161,REF-247,7.91,30.58,98,56,94,Economy,Manchester,Zone 3,41.45,81.88
2025-06-23,BAR24364,ACC-886,INV-5215,CONS-1542,REF-248,10.26,3.16,34,33,71,Economy,Glasgow,Zone 1,10.29,71.86
2025-06-06,BAR55137,ACC-796,INV-5073,CONS-1053,REF-249,7.81,28.82,80,10,32,Express,Manchester,Zone 3,45.44,33.09
2025-06-19,BAR61642,ACC-593,INV-5220,CONS-1950,REF-250,18.88,21.17,75,76,21,Standard,Birmingham,Zone 2,17.42,95.92
2025-06-05,BAR16728,ACC-582,INV-5200,CONS-1415,REF-251,7.53,6.51,71,38,72,Express,Glasgow,Zone 3,6.98,65.45
2025-06-20,BAR94541,ACC-396,INV-5574,CONS-1802,REF-252,27.26,15.07,67,38,26,Express,London,Zone 2,11.51,71.79
2025-06-05,BAR19903,ACC-324,INV-5301,CONS-1435,REF-253,14.76,17.74,64,34,75,Economy,Birmingham,Zone 3,27.07,81.56
2025-06-07,BAR28145,ACC-462,INV-5069,CONS-1062,REF-254,21.48,19.2,33,16,74,Economy,Manchester,Zone 3,45.94,28.34
2025-06-07,BAR63113,ACC-817,INV-5625,CONS-1014,REF-255,29.47,8.43,51,65,68,Express,Manchester,Zone 2,41.0,76.63
2025-06-22,BAR50738,ACC-166,INV-5558,CONS-1442,REF-256,27.26,27.18,70,100,25,Express,Birmingham,Zone 3,28.52,98.87
2025-06-27,BAR37668,ACC-551,INV-5540,CONS-1350,REF-257,4.95,2.29,91,31,89,Economy,Glasgow,Zone 2,37.14,20.27
2025-06-26,BAR95543,ACC-642,INV-5557,CONS-1990,REF-258,1.8,28.24,31,19,18,Standard,Birmingham,Zone 1,17.86,25.4
2025-06-14,BAR22050,ACC-439,INV-5574,CONS-1103,REF-259,19.86,31.82,40,97,91,Economy,Birmingham,Zone 1,27.52,52.77
2025-06-28,BAR26080,ACC-635,INV-5343,CONS-1972,REF-260,19.96,12.43,28,35,87,Economy,Birmingham,Zone 2,35.33,62.05
2025-06-26,BAR85430,ACC-337,INV-5319,CONS-1668,REF-261,14.21,27.77,75,14,41,Express,Manchester,Zone 1,19.1,92.21
2025-06-27,BAR80841,ACC-663,INV-5494,CONS-1248,REF-262,7.9,8.46,60,41,94,Economy,Glasgow,Zone 2,36.26,96.12
2025-06-13,BAR13581,ACC-473,INV-5069,CONS-1376,REF-263,17.48,23.01,27,60,51,Economy,Glasgow,Zone 1,45.73,71.34
2025-06-21,BAR95377,ACC-306,INV-5403,CONS-1873,REF-264,28.03,32.67,64,32,93,Standard,Glasgow,Zone 2,22.87,28.4
2025-06-25,BAR30438,ACC-135,INV-5100,CONS-1902,REF-265,3.29,17.8,45,74,100,Express,Manchester,Zone 1,29.29,75.59
2025-06-28,BAR57974,ACC-854,INV-5882,CONS-1331,REF-266,23.63,12.18,86,65,57,Economy,Glasgow,Zone 2,42.68,14.31
2025-06-23,BAR32479,ACC-183,INV-5287,CONS-1428,REF-267,20.93,34.62,17,22,38,Express,Manchester,Zone 1,18.74,70.6
2025-06-27,BAR26226,ACC-474,INV-5833,CONS-1694,REF-268,13.69,4.24,63,88,81,Standard,London,Zone 3,26.22,26.55
2025-06-28,BAR72310,ACC-374,INV-5085,CONS-1173,REF-269,4.21,17.01,63,85,80,Economy,Manchester,Zone 1,17.91,78.64
2025-06-09,BAR44050,ACC-235,INV-5942,CONS-1643,REF-270,1.76,22.93,89,59,100,Express,Manchester,Zone 1,23.58,41.37
2025-06-09,BAR26087,ACC-335,INV-5225,CONS-1148,REF-271,27.34,22.82,12,36,64,Express,London,Zone 2,43.73,29.41
2025-06-21,BAR79304,ACC-225,INV-5879,CONS-1006,REF-272,23.59,27.28,87,95,15,Economy,Birmingham,Zone 1,41.53,33.41
2025-06-15,BAR75499,ACC-491,INV-5633,CONS-1080,REF-273,16.21,13.38,45,94,68,Economy,London,Zone 2,49.51,89.13
2025-06-21,BAR27266,ACC-529,INV-5533,CONS-1883,REF-274,10.81,15.78,93,63,53,Economy,Manchester,Zone 3,12.93,32.87
2025-06-02,BAR31317,ACC-897,INV-5138,CONS-1568,REF-275,18.76,27.64,31,56,64,Express,Glasgow,Zone 2,45.93,31.83
2025-06-09,BAR45567,ACC-356,INV-5075,CONS-1514,REF-276,3.5,2.45,54,94,58,Express,Manchester,Zone 1,36.45,68.75
2025-06-26,BAR70038,ACC-250,INV-5185,CONS-1266,REF-277,27.56,30.74,87,65,50,Economy,Manchester,Zone 2,43.8,20.97
2025-06-10,BAR31770,ACC-662,INV-5221,CONS-1810,REF-278,12.58,12.44,64,52,15,Express,London,Zone 2,36.06,41.65
2025-06-20,BAR27433,ACC-377,INV-5665,CONS-1167,REF-279,17.85,12.68,69,68,63,Standard,Glasgow,Zone 2,31.0,66.97
2025-06-06,BAR31691,ACC-675,INV-5208,CONS-1584,REF-280,10.26,31.64,17,49,73,Economy,Manchester,Zone 3,39.79,20.5
2025-06-10,BAR94706,ACC-656,INV-5920,CONS-1694,REF-281,24.44,31.02,84,25,96,Economy,Manchester,Zone 3,34.91,98.88
2025-06-17,BAR18021,ACC-661,INV-5899,CONS-1824,REF-282,29.97,15.21,31,45,32,Standard,London,Zone 3,24.38,24.36
2025-06-19,BAR48974,ACC-372,INV-5245,CONS-1675,REF-283,1.93,12.16,32,17,80,Standard,Glasgow,Zone 2,46.45,18.18
2025-06-05,BAR88040,ACC-646,INV-5248,CONS-1632,REF-284,28.9,29.22,67,13,65,Standard,Manchester,Zone 2,20.57,32.35
2025-06-10,BAR47025,ACC-778,INV-5628,CONS-1419,REF-285,21.07,4.45,40,29,21,Express,Birmingham,Zone 1,37.09,63.21
2025-06-29,BAR35269,ACC-988,INV-5302,CONS-1865,REF-286,15.28,24.0,37,77,97,Express,Birmingham,Zone 2,35.21,95.44
2025-06-26,BAR93720,ACC-709,INV-5132,CONS-1922,REF-287,15.63,34.18,67,99,62,Economy,Glasgow,Zone 3,28.72,84.63
2025-06-25,BAR79857,ACC-798,INV-5819,CONS-1690,REF-288,19.97,2.39,67,35,56,Express,London,Zone 3,27.94,61.07
2025-06-16,BAR32324,ACC-824,INV-5260,CONS-1802,REF-289,6.94,18.59,70,53,79,Economy,Glasgow,Zone 2,48.53,84.85
2025-06-19,BAR22270,ACC-978,INV-5566,CONS-1630,REF-290,9.63,5.79,73,83,61,Economy,Glasgow,Zone 2,25.96,86.14
2025-06-12,BAR78188,ACC-808,INV-5126,CONS-1256,REF-291,28.06,33.61,17,83,70,Express,London,Zone 1,23.87,73.42
2025-06-10,BAR36610,ACC-428,INV-5888,CONS-1124,REF-292,10.55,21.13,82,40,75,Standard,Birmingham,Zone 2,21.33,20.29
2025-06-21,BAR52816,ACC-383,INV-5616,CONS-1855,REF-293,1.22,7.55,61,40,72,Express,London,Zone 1,20.74,69.56
2025-06-12,BAR95009,ACC-330,INV-5172,CONS-1587,REF-294,10.13,8.92,35,18,87,Standard,Glasgow,Zone 2,11.02,45.3
2025-06-20,BAR11462,ACC-238,INV-5315,CONS-1473,REF-295,19.19,13.65,51,63,94,Express,London,Zone 1,17.07,74.7
2025-06-15,BAR56999,ACC-379,INV-5064,CONS-1580,REF-296,24.73,8.79,86,16,65,Economy,Birmingham,Zone 2,35.88,37.65
2025-06-14,BAR23178,ACC-569,INV-5471,CONS-1559,REF-297,8.21,31.09,62,20,10,Economy,London,Zone 3,40.65,80.46
2025-06-10,BAR48631,ACC-937,INV-5314,CONS-1129,REF-298,14.47,28.83,65,64,82,Standard,Glasgow,Zone 3,32.33,16.68
2025-06-15,BAR19390,ACC-951,INV-6000,CONS-1060,REF-299,22.43,14.01,44,10,30,Standard,Glasgow,Zone 3,14.21,86.42
2025-06-05,BAR61074,ACC-265,INV-5447,CONS-1966,REF-300,0.93,5.67,79,75,88,Express,London,Zone 2,28.18,31.94
2025-06-18,BAR59188,ACC-584,INV-5388,CONS-1599,REF-301,28.12,4.64,52,27,90,Economy,Manchester,Zone 3,6.4,61.47
2025-06-15,BAR41956,ACC-669,INV-5751,CONS-1541,REF-302,15.85,5.96,53,11,86,Standard,Manchester,Zone 1,12.4,47.31
2025-06-04,BAR41037,ACC-272,INV-5876,CONS-1133,REF-303,15.19,21.3,15,52,35,Express,Glasgow,Zone 2,27.34,50.91
2025-06-15,BAR76581,ACC-856,INV-5023,CONS-1757,REF-304,26.06,13.39,72,46,95,Standard,Manchester,Zone 1,18.55,52.66
2025-06-20,BAR57086,ACC-750,INV-5545,CONS-1733,REF-305,26.05,26.8,95,94,44,Standard,Manchester,Zone 2,31.44,58.74
2025-06-20,BAR64945,ACC-817,INV-5035,CONS-1761,REF-306,0.94,15.67,22,89,72,Express,London,Zone 1,35.78,80.18
2025-06-21,BAR10172,ACC-698,INV-5465,CONS-1586,REF-307,21.07,16.05,55,80,63,Express,Manchester,Zone 3,9.93,36.24
2025-06-24,BAR73030,ACC-641,INV-5992,CONS-1301,REF-308,8.77,18.97,19,44,81,Standard,London,Zone 2,48.28,55.27
2025-06-12,BAR26767,ACC-194,INV-5737,CONS-1490,REF-309,9.68,17.16,74,32,57,Express,London,Zone 2,18.66,40.99
2025-06-23,BAR91461,ACC-293,INV-5665,CONS-1308,REF-310,18.82,21.73,78,76,25,Standard,London,Zone 1,16.11,17.35
2025-06-06,BAR15814,ACC-618,INV-5264,CONS-1603,REF-311,16.1,23.38,15,66,72,Economy,Glasgow,Zone 2,27.74,25.45
2025-06-11,BAR38221,ACC-115,INV-5455,CONS-1941,REF-312,16.7,25.48,35,21,58,Economy,Birmingham,Zone 1,45.85,29.84
2025-06-07,BAR76607,ACC-583,INV-5734,CONS-1510,REF-313,11.94,12.83,43,14,60,Economy,Glasgow,Zone 3,41.95,35.36
2025-06-23,BAR65744,ACC-301,INV-5044,CONS-1082,REF-314,12.54,4.96,98,87,79,Standard,Manchester,Zone 1,21.65,41.43
2025-06-01,BAR47103,ACC-131,INV-5373,CONS-1302,REF-315,11.38,17.34,73,53,81,Standard,Birmingham,Zone 2,49.78,64.26
2025-06-28,BAR75322,ACC-782,INV-5986,CONS-1079,REF-316,26.46,19.27,59,59,49,Economy,Birmingham,Zone 2,27.74,62.5
2025-06-02,BAR98240,ACC-680,INV-5297,CONS-1043,REF-317,27.96,30.55,14,13,49,Standard,Glasgow,Zone 1,18.7,47.22
2025-06-10,BAR83435,ACC-177,INV-5295,CONS-1923,REF-318,13.9,11.42,88,57,65,Economy,London,Zone 2,21.48,79.22
2025-06-24,BAR60894,ACC-704,INV-5956,CONS-1645,REF-319,27.66,31.75,22,56,36,Economy,Glasgow,Zone 1,39.56,68.99
2025-06-28,BAR63847,ACC-974,INV-5036,CONS-1057,REF-320,17.11,22.33,90,50,50,Economy,London,Zone 3,34.58,65.38
2025-06-07,BAR26209,ACC-520,INV-5196,CONS-1837,REF-321,25.95,20.68,41,54,49,Express,Birmingham,Zone 3,14.67,43.94
2025-06-02,BAR44366,ACC-385,INV-5169,CONS-1812,REF-322,17.26,26.13,33,83,63,Standard,London,Zone 2,20.05,72.14
2025-06-07,BAR95911,ACC-122,INV-5929,CONS-1093,REF-323,1.6,20.6,60,46,22,Economy,Glasgow,Zone 1,16.71,43.22
2025-06-20,BAR40544,ACC-819,INV-5186,CONS-1671,REF-324,16.98,11.11,32,100,67,Express,Birmingham,Zone 3,14.98,57.27
2025-06-10,BAR31966,ACC-546,INV-5404,CONS-1915,REF-325,27.55,21.51,68,73,54,Economy,Birmingham,Zone 2,31.98,56.55
2025-06-03,BAR75434,ACC-311,INV-5277,CONS-1886,REF-326,6.15,6.13,60,44,98,Standard,Glasgow,Zone 3,37.23,81.8
2025-06-06,BAR11862,ACC-189,INV-5484,CONS-1514,REF-327,13.05,34.9,23,95,92,Standard,London,Zone 3,46.73,47.68
2025-06-26,BAR10066,ACC-796,INV-5848,CONS-1812,REF-328,19.5,7.7,98,54,39,Economy,Manchester,Zone 3,47.37,81.39
2025-06-21,BAR87954,ACC-535,INV-5769,CONS-1233,REF-329,19.92,29.05,94,85,31,Economy,Glasgow,Zone 1,45.2,18.82
2025-06-20,BAR44969,ACC-872,INV-5783,CONS-1909,REF-330,1.95,23.63,40,55,75,Express,Manchester,Zone 2,47.76,72.36
2025-06-18,BAR26479,ACC-591,INV-5895,CONS-1039,REF-331,29.59,17.52,36,58,22,Express,Glasgow,Zone 3,33.09,25.46
2025-06-19,BAR54533,ACC-838,INV-5208,CONS-1704,REF-332,11.01,1.4,62,16,21,Standard,London,Zone 1,19.96,34.32
2025-06-13,BAR35799,ACC-783,INV-5947,CONS-1765,REF-333,4.79,1.64,10,34,11,Economy,Manchester,Zone 2,44.85,46.59
2025-06-16,BAR26516,ACC-819,INV-5072,CONS-1398,REF-334,14.15,18.98,29,27,92,Express,Birmingham,Zone 1,28.99,82.0
2025-06-05,BAR11883,ACC-351,INV-5405,CONS-1407,REF-335,8.79,7.14,82,63,82,Standard,Glasgow,Zone 2,31.02,95.26
2025-06-13,BAR52811,ACC-878,INV-5168,CONS-1606,REF-336,3.5,9.28,67,67,33,Standard,Manchester,Zone 3,14.29,95.82
2025-06-23,BAR30299,ACC-279,INV-5107,CONS-1369,REF-337,8.77,13.11,67,83,31,Express,Glasgow,Zone 1,22.93,79.83
2025-06-06,BAR70669,ACC-942,INV-5911,CONS-1562,REF-338,4.63,19.94,56,71,47,Express,London,Zone 1,35.04,77.53
2025-06-17,BAR30756,ACC-560,INV-5666,CONS-1571,REF-339,24.52,9.93,15,13,96,Economy,Glasgow,Zone 3,38.47,40.86
2025-06-11,BAR38598,ACC-157,INV-5103,CONS-1404,REF-340,1.67,34.18,69,78,94,Economy,Manchester,Zone 2,26.15,49.06
2025-06-29,BAR60073,ACC-216,INV-5208,CONS-1379,REF-341,10.7,14.9,53,24,80,Standard,Glasgow,Zone 3,44.33,93.75
2025-06-13,BAR11903,ACC-786,INV-5221,CONS-1586,REF-342,10.04,23.07,52,36,44,Express,London,Zone 1,41.36,76.78
2025-06-13,BAR57023,ACC-582,INV-5089,CONS-1051,REF-343,4.16,5.78,74,82,92,Express,Birmingham,Zone 1,24.87,45.53
2025-06-04,BAR68601,ACC-390,INV-5539,CONS-1827,REF-344,5.46,30.11,28,78,32,Standard,Manchester,Zone 3,46.58,98.7
2025-06-03,BAR62063,ACC-291,INV-5701,CONS-1906,REF-345,14.44,23.54,26,11,87,Economy,Birmingham,Zone 1,11.68,18.33
2025-06-21,BAR89215,ACC-778,INV-5283,CONS-1940,REF-346,19.06,27.92,56,97,27,Express,Birmingham,Zone 1,40.14,88.02
2025-06-03,BAR53316,ACC-813,INV-5852,CONS-1479,REF-347,26.83,9.64,82,14,25,Economy,London,Zone 1,49.95,19.37
2025-06-22,BAR24227,ACC-127,INV-5276,CONS-1416,REF-348,18.65,11.49,85,27,38,Standard,London,Zone 3,28.23,59.31
2025-06-23,BAR14368,ACC-275,INV-5423,CONS-1867,REF-349,23.55,11.28,54,65,47,Express,Glasgow,Zone 1,25.76,21.59
2025-06-12,BAR54207,ACC-652,INV-5435,CONS-1607,REF-350,19.46,13.39,26,54,47,Standard,Manchester,Zone 2,27.81,73.6
2025-06-28,BAR75678,ACC-800,INV-5832,CONS-1022,REF-351,23.87,12.93,33,63,66,Express,Birmingham,Zone 3,12.9,55.25
2025-06-14,BAR77710,ACC-417,INV-5789,CONS-1606,REF-352,5.3,16.14,72,70,47,Economy,Birmingham,Zone 3,16.92,34.43
2025-06-09,BAR92776,ACC-775,INV-5970,CONS-1985,REF-353,15.03,4.63,78,88,30,Express,Glasgow,Zone 3,48.53,33.16
2025-06-14,BAR48726,ACC-453,INV-5377,CONS-1309,REF-354,29.09,4.7,37,56,88,Standard,Glasgow,Zone 3,36.52,46.63
2025-06-23,BAR13179,ACC-655,INV-5114,CONS-1526,REF-355,5.43,26.44,74,53,37,Standard,Birmingham,Zone 1,48.32,45.96
2025-06-12,BAR13571,ACC-769,INV-5594,CONS-1226,REF-356,26.9,34.16,29,94,70,Standard,London,Zone 1,45.85,33.47
2025-06-03,BAR93389,ACC-358,INV-5227,CONS-1163,REF-357,6.76,33.4,89,44,86,Economy,Birmingham,Zone 3,20.0,13.4
2025-06-13,BAR20468,ACC-102,INV-5801,CONS-1594,REF-358,24.61,7.12,62,44,53,Express,Birmingham,Zone 2,48.56,50.17
2025-06-21,BAR90740,ACC-168,INV-5752,CONS-1254,REF-359,13.58,24.86,10,85,11,Express,Glasgow,Zone 2,32.63,28.81
2025-06-18,BAR56369,ACC-361,INV-5173,CONS-1715,REF-360,8.8,4.52,46,57,67,Standard,London,Zone 1,28.46,76.85
2025-06-01,BAR99200,ACC-798,INV-5818,CONS-1435,REF-361,28.7,1.89,56,54,48,Standard,Glasgow,Zone 1,18.57,56.37
2025-06-26,BAR20798,ACC-771,INV-5800,CONS-1534,REF-362,3.02,18.02,65,26,39,Economy,Manchester,Zone 2,19.63,36.06
2025-06-25,BAR21254,ACC-724,INV-5259,CONS-1211,REF-363,10.2,3.82,78,30,90,Express,Birmingham,Zone 1,44.8,48.99
2025-06-29,BAR74071,ACC-788,INV-5191,CONS-1842,REF-364,8.83,14.34,25,78,39,Economy,Birmingham,Zone 3,6.56,53.21
2025-06-06,BAR57700,ACC-843,INV-5106,CONS-1346,REF-365,13.78,5.35,14,84,55,Express,Birmingham,Zone 1,21.6,65.26
2025-06-02,BAR63320,ACC-492,INV-5604,CONS-1669,REF-366,22.13,34.93,58,75,50,Economy,Manchester,Zone 2,46.39,22.22
2025-06-22,BAR23583,ACC-493,INV-5696,CONS-1516,REF-367,25.92,12.09,21,78,11,Economy,Birmingham,Zone 2,31.08,43.4
2025-06-24,BAR85679,ACC-310,INV-5625,CONS-1313,REF-368,10.12,24.31,34,23,21,Standard,London,Zone 2,22.93,98.8
2025-06-07,BAR29016,ACC-354,INV-5833,CONS-1359,REF-369,5.25,5.59,92,55,71,Economy,London,Zone 3,17.49,17.89
2025-06-18,BAR86102,ACC-253,INV-5727,CONS-1379,REF-370,2.44,6.02,52,81,36,Standard,Manchester,Zone 2,5.95,49.75
2025-06-21,BAR43274,ACC-419,INV-5178,CONS-1446,REF-371,12.64,15.22,57,74,54,Standard,Glasgow,Zone 1,22.65,35.1
2025-06-04,BAR38359,ACC-126,INV-5860,CONS-1799,REF-372,7.8,19.36,57,90,10,Economy,Glasgow,Zone 2,18.13,22.55
2025-06-16,BAR40043,ACC-999,INV-5503,CONS-1440,REF-373,14.55,3.57,43,25,97,Express,Manchester,Zone 3,48.28,45.92
